Survived,PassengerID
1,892
0,893
1,894
1,895
0,896
1,897
0,898
1,899
0,900
1,901
1,902
0,903
0,904
1,905
0,906
0,907
1,908
1,909
0,910
0,911
1,912
1,913
0,914
1,915
0,916
1,917
0,918
1,919
0,920
1,921
1,922
1,923
0,924
0,925
1,926
1,927
0,928
0,929
1,930
1,931
1,932
0,933
1,934
0,935
0,936
1,937
0,938
1,939
0,940
0,941
1,942
1,943
0,944
0,945
1,946
1,947
1,948
1,949
1,950
0,951
1,952
1,953
1,954
0,955
1,956
0,957
0,958
1,959
0,960
0,961
0,962
1,963
0,964
0,965
0,966
1,967
1,968
0,969
1,970
0,971
1,972
1,973
0,974
1,975
1,976
1,977
0,978
0,979
0,980
1,981
0,982
1,983
0,984
1,985
0,986
1,987
0,988
1,989
0,990
1,991
0,992
1,993
1,994
1,995
0,996
1,997
1,998
1,999
1,1000
1,1001
1,1002
0,1003
0,1004
0,1005
0,1006
1,1007
1,1008
0,1009
1,1010
0,1011
0,1012
1,1013
0,1014
1,1015
1,1016
0,1017
1,1018
0,1019
1,1020
1,1021
1,1022
0,1023
0,1024
1,1025
1,1026
1,1027
1,1028
1,1029
0,1030
1,1031
0,1032
0,1033
1,1034
1,1035
0,1036
1,1037
1,1038
1,1039
0,1040
1,1041
0,1042
1,1043
1,1044
0,1045
1,1046
1,1047
0,1048
0,1049
0,1050
0,1051
0,1052
1,1053
0,1054
1,1055
1,1056
0,1057
1,1058
1,1059
0,1060
0,1061
1,1062
1,1063
1,1064
1,1065
1,1066
0,1067
0,1068
1,1069
0,1070
0,1071
1,1072
1,1073
0,1074
1,1075
0,1076
1,1077
0,1078
1,1079
0,1080
1,1081
1,1082
0,1083
1,1084
1,1085
1,1086
1,1087
1,1088
0,1089
1,1090
0,1091
0,1092
1,1093
1,1094
0,1095
1,1096
0,1097
0,1098
1,1099
0,1100
1,1101
1,1102
1,1103
1,1104
0,1105
0,1106
1,1107
0,1108
1,1109
0,1110
1,1111
0,1112
1,1113
0,1114
1,1115
0,1116
0,1117
1,1118
0,1119
1,1120
1,1121
1,1122
0,1123
1,1124
1,1125
1,1126
1,1127
1,1128
1,1129
0,1130
0,1131
0,1132
0,1133
1,1134
1,1135
1,1136
1,1137
0,1138
1,1139
0,1140
0,1141
0,1142
1,1143
1,1144
1,1145
1,1146
1,1147
1,1148
1,1149
0,1150
1,1151
1,1152
1,1153
0,1154
0,1155
1,1156
1,1157
0,1158
1,1159
0,1160
1,1161
1,1162
1,1163
0,1164
0,1165
1,1166
0,1167
1,1168
1,1169
1,1170
1,1171
0,1172
1,1173
0,1174
0,1175
0,1176
1,1177
1,1178
1,1179
1,1180
1,1181
1,1182
0,1183
1,1184
1,1185
1,1186
1,1187
0,1188
1,1189
1,1190
1,1191
1,1192
1,1193
1,1194
1,1195
0,1196
0,1197
1,1198
1,1199
1,1200
0,1201
1,1202
1,1203
1,1204
0,1205
0,1206
0,1207
1,1208
1,1209
1,1210
1,1211
1,1212
1,1213
1,1214
0,1215
0,1216
1,1217
0,1218
1,1219
1,1220
1,1221
0,1222
0,1223
1,1224
0,1225
1,1226
0,1227
1,1228
1,1229
1,1230
1,1231
1,1232
1,1233
1,1234
0,1235
1,1236
0,1237
1,1238
0,1239
1,1240
0,1241
0,1242
1,1243
1,1244
1,1245
0,1246
0,1247
0,1248
1,1249
1,1250
0,1251
1,1252
0,1253
0,1254
1,1255
0,1256
0,1257
1,1258
0,1259
0,1260
1,1261
1,1262
0,1263
0,1264
1,1265
0,1266
0,1267
0,1268
1,1269
1,1270
1,1271
1,1272
1,1273
0,1274
0,1275
1,1276
0,1277
1,1278
1,1279
1,1280
1,1281
1,1282
0,1283
1,1284
1,1285
1,1286
0,1287
1,1288
0,1289
1,1290
1,1291
0,1292
1,1293
0,1294
1,1295
0,1296
1,1297
1,1298
1,1299
0,1300
0,1301
0,1302
0,1303
0,1304
1,1305
0,1306
1,1307
1,1308
1,1309
